player_id,player_name,season,player_source_team_id,player_source_team_name,candidate_pitching_role,candidate_innings_pitched,candidate_era,candidate_whip,candidate_k_per_nine,candidate_games_pitched,candidate_games_started,candidate_saves,candidate_holds,era_performance_score,whip_performance_score,strikeout_rate_performance_score,pitcher_performance_score,workload_context_score,target_team_id,target_team_name,target_team_abbreviation,target_league_name,target_division_name,target_starting_pitching_need_score,target_starting_pitching_need_level,target_bullpen_need_score,target_bullpen_need_level,target_overall_need_score,target_overall_need_level,target_primary_need,player_on_target_team,role_aligned_need_score,role_aligned_need_level,pitcher_roster_fit_score,fit_tier,fit_explanation,minimum_candidate_innings_pitched,pitcher_performance_weight,role_aligned_team_need_weight,workload_context_weight,era_performance_weight,whip_performance_weight,strikeout_rate_performance_weight
547973,Aroldis Chapman,2025,111,Boston Red Sox,Relief,61.333333333333336,1.1739130434782608,0.7010869565217391,12.472826086956522,67,0,32,4,94.74513276158511,98.58705697982802,83.37989710285497,93.81675910622411,19.963369963369964,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,72.5089358413901,Strong Fit,Role: Relief; ERA: 1.17; WHIP: 0.701; K/9: 12.47; performance score: 93.8; role-aligned team need: 59.7; workload score: 20.0.,25,0.55,0.3,0.15,0.45,0.35,0.2
669373,Tarik Skubal,2025,116,Detroit Tigers,Starter,195.33333333333331,2.21160409556314,0.8907849829351535,11.104095563139932,31,31,0,0,82.73197563480986,85.87623728022308,70.94821621872136,81.47571532748678,93.58974358974358,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,37.970616206134125,Low Need,70.2412898304195,Strong Fit,Role: Starter; ERA: 2.21; WHIP: 0.891; K/9: 11.1; performance score: 81.5; role-aligned team need: 38.0; workload score: 93.6.,25,0.55,0.3,0.15,0.45,0.35,0.2
621242,Edwin Díaz,2025,121,New York Mets,Relief,66.33333333333333,1.628140703517588,0.8743718592964824,13.296482412060302,62,0,28,0,89.48662326551059,86.97600757948709,90.860867544967,88.88275663129365,22.710622710622708,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,70.20732239226626,Strong Fit,Role: Relief; ERA: 1.63; WHIP: 0.874; K/9: 13.3; performance score: 88.9; role-aligned team need: 59.7; workload score: 22.7.,25,0.55,0.3,0.15,0.45,0.35,0.2
694973,Paul Skenes,2025,134,Pittsburgh Pirates,Starter,187.66666666666663,1.966252220248668,0.9484902309058616,10.35879218472469,32,32,0,0,85.5723688554894,82.00966567405271,64.17889705683895,80.04672838225648,89.37728937728936,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,37.970616206134125,Low Need,68.8234788786747,Strong Fit,Role: Starter; ERA: 1.97; WHIP: 0.948; K/9: 10.36; performance score: 80.0; role-aligned team need: 38.0; workload score: 89.4.,25,0.55,0.3,0.15,0.45,0.35,0.2
657746,Joe Ryan,2025,142,Minnesota Twins,Swing,171.0,3.421052631578948,1.0350877192982455,10.210526315789474,31,30,0,0,68.73041392652044,76.20715374387912,62.832252164700655,70.16764051023202,80.21978021978022,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,68.54038215205598,Strong Fit,Role: Swing; ERA: 3.42; WHIP: 1.035; K/9: 10.21; performance score: 70.2; role-aligned team need: 59.7; workload score: 80.2.,25,0.55,0.3,0.15,0.45,0.35,0.2
519242,Chris Sale,2025,144,Atlanta Braves,Swing,125.66666666666669,2.5782493368700266,1.06631299734748,11.816976127320954,21,20,0,0,78.48739157989812,74.11488696146738,77.42305076664084,76.7441468007959,55.31135531135533,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,68.42119687560239,Strong Fit,Role: Swing; ERA: 2.58; WHIP: 1.066; K/9: 11.82; performance score: 76.7; role-aligned team need: 59.7; workload score: 55.3.,25,0.55,0.3,0.15,0.45,0.35,0.2
676979,Garrett Crochet,2025,111,Boston Red Sox,Starter,205.33333333333331,2.586038961038961,1.0275974025974026,11.17694805194805,32,32,0,0,78.39721254355399,76.70904649878773,71.6099088431775,76.4488936878105,99.08424908424908,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,37.970616206134125,Low Need,68.30071375277338,Strong Fit,Role: Starter; ERA: 2.59; WHIP: 1.028; K/9: 11.18; performance score: 76.4; role-aligned team need: 38.0; workload score: 99.1.,25,0.55,0.3,0.15,0.45,0.35,0.2
623352,Josh Hader,2025,117,Houston Astros,Relief,52.66666666666666,2.0506329113924053,0.8544303797468354,12.9873417721519,48,0,28,0,84.59550922165236,88.3121972905309,88.05305569538403,86.58785934050618,15.201465201465197,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,67.81875525595953,Strong Fit,Role: Relief; ERA: 2.05; WHIP: 0.854; K/9: 12.99; performance score: 86.6; role-aligned team need: 59.7; workload score: 15.2.,25,0.55,0.3,0.15,0.45,0.35,0.2
678495,Randy Rodríguez,2025,137,San Francisco Giants,Relief,50.66666666666666,1.7763157894736843,0.8881578947368421,11.901315789473683,50,0,4,13,87.77122773782668,86.05226675746668,78.18907720319226,85.25316128777379,14.102564102564097,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,66.91983616212156,Strong Fit,Role: Relief; ERA: 1.78; WHIP: 0.888; K/9: 11.9; performance score: 85.3; role-aligned team need: 59.7; workload score: 14.1.,25,0.55,0.3,0.15,0.45,0.35,0.2
641755,Tyler Kinley,2025,144,Atlanta Braves,Relief,25.0,0.72,0.68,7.92,24,0,0,6,100.0,100.0,42.028235801271684,88.40564716025433,0.0,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,66.53831877660123,Strong Fit,Role: Relief; ERA: 0.72; WHIP: 0.68; K/9: 7.92; performance score: 88.4; role-aligned team need: 59.7; workload score: 0.0.,25,0.55,0.3,0.15,0.45,0.35,0.2
662253,Andrés Muñoz,2025,136,Seattle Mariners,Relief,62.333333333333336,1.732620320855615,1.0267379679144384,11.983957219251336,64,0,38,0,88.27708208549818,76.76663338835787,78.93967921354238,82.38094446710791,20.512820512820515,109,Arizona Diamondbacks,AZ,National League,National League West,37.970616206134125,Low Need,59.71737612820448,Moderate Need,40.763650134179,Low Need,Bullpen,,59.71737612820448,Moderate Need,66.30165537229378,Strong Fit,Role: Relief; ERA: 1.73; WHIP: 1.027; K/9: 11.98; performance score: 82.4; role-aligned team need: 59.7; workload score: 20.5.,25,0.55,0.3,0.15,0.45,0.35,0.2
