player_id,player_name,season,player_source_team_id,player_source_team_name,player_position_code,player_position_name,position_group,player_plate_appearances,player_batting_average,player_on_base_percentage,player_slugging_percentage,player_ops,player_home_runs,player_runs_batted_in,player_performance_score,playing_time_score,target_team_id,target_team_name,target_team_abbreviation,target_league_name,target_division_name,target_offensive_need_score,target_offensive_need_level,target_overall_need_score,target_overall_need_level,target_primary_need,target_position_need_score,target_position_need_level,player_on_target_team,roster_fit_score,fit_tier,position_alignment_status,fit_explanation,minimum_candidate_plate_appearances,player_performance_weight,team_offensive_need_weight,position_need_weight,playing_time_weight
592450,Aaron Judge,2025,147,New York Yankees,9,Outfielder,,679,0.3308687615526802,0.4565537555228277,0.6876155268022182,1.1441692823250458,53,114,100.0,91.61392405063292,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,50.0,Neutral / Unmapped Position,,72.00176142380138,Strong Fit,Neutral - Unmapped Position,Player OPS: 1.144; performance score: 100.0; target offensive need: 31.4; target position need: 50.0; playing-time score: 91.6.,100,0.45,0.25,0.2,0.1
701762,Nick Kurtz,2025,133,Athletics,3,First Base,First Base,489,0.2904761904761905,0.3831967213114754,0.6190476190476191,1.0022443403590944,36,86,82.4832291541509,61.5506329113924,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,69.88416182365525,Strong Fit,Mapped,Player OPS: 1.002; performance score: 82.5; target offensive need: 31.4; target position need: 93.9; playing-time score: 61.6.,100,0.45,0.25,0.2,0.1
624413,Pete Alonso,2025,121,New York Mets,3,First Base,First Base,709,0.2724358974358974,0.3469675599435825,0.5240384615384616,0.8710060214820441,38,126,66.28543103551385,96.36075949367088,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,66.07616532849642,Strong Fit,Mapped,Player OPS: 0.871; performance score: 66.3; target offensive need: 31.4; target position need: 93.9; playing-time score: 96.4.,100,0.45,0.25,0.2,0.1
660271,Shohei Ohtani,2025,119,Los Angeles Dodgers,10,Designated Hitter,Designated Hitter,727,0.281505728314239,0.3917241379310345,0.6219312602291326,1.013655398160167,55,102,83.89161362724855,99.20886075949366,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,50.22469345011058,Moderate Need,,65.55741991697141,Strong Fit,Mapped,Player OPS: 1.014; performance score: 83.9; target offensive need: 31.4; target position need: 50.2; playing-time score: 99.2.,100,0.45,0.25,0.2,0.1
621566,Matt Olson,2025,144,Atlanta Braves,3,First Base,First Base,724,0.2724358974358974,0.3660220994475138,0.483974358974359,0.8499964584218728,29,95,63.69237236239685,98.73417721518987,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,65.14663069774568,Strong Fit,Mapped,Player OPS: 0.85; performance score: 63.7; target offensive need: 31.4; target position need: 93.9; playing-time score: 98.7.,100,0.45,0.25,0.2,0.1
518692,Freddie Freeman,2025,119,Los Angeles Dodgers,3,First Base,First Base,627,0.2949640287769784,0.3668261562998405,0.5017985611510791,0.8686247174509196,24,90,65.99152387268752,83.38607594936708,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,64.64643875079419,Strong Fit,Mapped,Player OPS: 0.869; performance score: 66.0; target offensive need: 31.4; target position need: 93.9; playing-time score: 83.4.,100,0.45,0.25,0.2,0.1
665489,Vladimir Guerrero Jr.,2025,141,Toronto Blue Jays,3,First Base,First Base,680,0.2920203735144312,0.3808823529411764,0.466893039049236,0.8477753919904125,23,84,63.418242169533144,91.77215189873418,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,64.32706957931144,Strong Fit,Mapped,Player OPS: 0.848; performance score: 63.4; target offensive need: 31.4; target position need: 93.9; playing-time score: 91.8.,100,0.45,0.25,0.2,0.1
683737,Michael Busch,2025,112,Chicago Cubs,3,First Base,First Base,592,0.2614503816793893,0.3429054054054054,0.5229007633587787,0.865806168764184,34,90,65.64365075905778,77.84810126582279,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,63.93609838130638,Strong Fit,Mapped,Player OPS: 0.866; performance score: 65.6; target offensive need: 31.4; target position need: 93.9; playing-time score: 77.8.,100,0.45,0.25,0.2,0.1
663728,Cal Raleigh,2025,136,Seattle Mariners,2,Catcher,Catcher,705,0.2466442953020134,0.3588652482269504,0.5889261744966443,0.9477914227235946,60,125,75.76249869693659,95.72784810126582,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,61.68203280362639,Moderate Need,,63.84268480321142,Strong Fit,Mapped,Player OPS: 0.948; performance score: 75.8; target offensive need: 31.4; target position need: 61.7; playing-time score: 95.7.,100,0.45,0.25,0.2,0.1
547180,Bryce Harper,2025,143,Philadelphia Phillies,3,First Base,First Base,580,0.2614770459081836,0.3568965517241379,0.4870259481037924,0.8439224998279303,27,75,62.942707508964745,75.9493670886076,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,62.530800501043004,Strong Fit,Mapped,Player OPS: 0.844; performance score: 62.9; target offensive need: 31.4; target position need: 93.9; playing-time score: 75.9.,100,0.45,0.25,0.2,0.1
666018,Jonathan Aranda,2025,139,Tampa Bay Rays,3,First Base,First Base,422,0.3162162162162162,0.3933649289099526,0.4891891891891892,0.8825541180991419,14,59,67.71072922021176,50.9493670886076,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,62.17641027110416,Strong Fit,Mapped,Player OPS: 0.883; performance score: 67.7; target offensive need: 31.4; target position need: 93.9; playing-time score: 50.9.,100,0.45,0.25,0.2,0.1
686469,Vinnie Pasquantino,2025,118,Kansas City Royals,3,First Base,First Base,682,0.2640901771336554,0.3225806451612903,0.4750402576489533,0.7976209028102437,32,113,57.22803570060675,92.08860759493672,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,61.573122237914816,Strong Fit,Mapped,Player OPS: 0.798; performance score: 57.2; target offensive need: 31.4; target position need: 93.9; playing-time score: 92.1.,100,0.45,0.25,0.2,0.1
647304,Josh Naylor,2025,136,Seattle Mariners,3,First Base,First Base,604,0.2946593001841621,0.3533333333333333,0.4622467771639042,0.8155801104972376,20,92,59.44461103450087,79.74683544303798,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,61.3364039229773,Strong Fit,Mapped,Player OPS: 0.816; performance score: 59.4; target offensive need: 31.4; target position need: 93.9; playing-time score: 79.7.,100,0.45,0.25,0.2,0.1
700250,Ben Rice,2025,147,New York Yankees,3,First Base,First Base,530,0.2548179871520342,0.3371212121212121,0.4989293361884368,0.836050548309649,26,65,61.97112937093422,68.0379746835443,109,Arizona Diamondbacks,AZ,National League,National League West,31.361476074952343,Low Need,40.763650134179,Low Need,Bullpen,93.85638197205007,High Need,,61.302451098422935,Strong Fit,Mapped,Player OPS: 0.836; performance score: 62.0; target offensive need: 31.4; target position need: 93.9; playing-time score: 68.0.,100,0.45,0.25,0.2,0.1
